,smiles,ChEMBL_ID,activity_IC50,binding_score
0,C(COc1ccc(cc1)[C@H]1CC[C@@H](CC1)N1CCOCC1)CN1CCCCC1,CHEMBL1824241,4.643452676486188,-8.79684
1,Cc1ccc(cc1-c1ccc(cn1)C(=O)NCC1CC1)C(=O)NC1CC1,CHEMBL1232887,4.600000032123142,-8.8989
2,COc1ccc2[nH]cc(C(=O)OCC34CCN(CC3)CC4)c2c1Cl,CHEMBL3917789,4.0,-7.52754
3,CS(=O)(=O)OCC1COC(Cn2cncn2)(O1)c1ccc(Cl)cc1Cl,CHEMBL410503,4.698970004336019,-7.7906
4,CCC1COC(Cn2cncn2)(O1)c1ccc(Cl)cc1Cl,CHEMBL270271,4.698970004336019,-6.97609
5,Cc1oc(nc1CCOc1ccc(C[C@@H]2CN(C[C@@H]2C(O)=O)c2nccc(n2)C(F)(F)F)cc1)-c1ccccc1,CHEMBL255930,3.505149978319906,-11.50747
6,C[C@H](N1CC[C@@](CC(C)(C)O)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccc(F)cn1,CHEMBL4096179,4.303196057420489,-9.84576
7,C[C@H](N1CC[C@@](CC(C)(C)O)(OC1=O)c1ccccc1)c1ccc(cc1)-c1cnc(C)nc1,CHEMBL4105041,4.698970004336019,-10.48098
8,C[C@H](N1CC[C@@](CC(C)(C)O)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccc(F)cc1,CHEMBL3645525,3.662757831681574,-10.73456
9,COc1cc(C=C2CCC(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O,CHEMBL270361,6.4470000000567325,-9.24712
11,Cc1cc(ccc1F)-c1cnc2ccn(Cc3ncco3)c2c1,CHEMBL4526512,3.8512583487190755,-8.38446
12,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1,CHEMBL154751,5.0,-9.40109
13,NC(=O)n1cc(NC(=O)N2CCC[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12,CHEMBL3908849,3.531478917042255,-10.81125
14,C[C@H](c1ccc(Cl)cc1Cl)n1nc(C#N)c2ncc(nc12)N1CC[C@@H]([C@H](C)C1)N1CCC[C@H]1CO,CHEMBL4558456,4.0,-9.92514
15,CC(C)(C)c1cc(NC(=O)N2CCCN(CC2)C(=O)N2CCS(=O)(=O)CC2)no1,CHEMBL1762429,4.477121254719663,-8.52141
16,Cl.Cl.O=C(CN1CCOCC1)Nc1ccc(OC2CCN(CC2)C2CCC2)cc1,CHEMBL4593911,4.653212513775344,-8.80235
17,COc1cncc(NC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)c1,CHEMBL4205724,3.5185139398778875,-9.24631
