smiles,ChEMBL_ID,activity_IC50,binding_score
NCC(NC(=O)c1ccc([nH]1)-c1cc(F)c(Cl)c(F)c1)c1ncc(CO)s1,CHEMBL4083672,25000.0,-10.25844
Cn1cc(cn1)S(=O)(=O)N1CCC2=Cc3c(C[C@@]2(C1)C(=O)c1cc(ccn1)C(F)(F)F)cnn3-c1ccc(F)cc1,CHEMBL4068611,9000.0,-10.53771
CCc1nc(N)nc(N)c1-c1ccc2OC(C)(C(=O)N(CCCOC(F)(F)F)c2c1)c1cc(F)cc(F)c1,CHEMBL241241,3220.0,-9.87498
COc1cccc(OC)c1\\C=C\\C(=O)c1ccc[nH]1,CHEMBL2299166,18000.0,-7.92393
Clc1ccccc1\\C=C\\C(=O)c1ccc[nH]1,CHEMBL1335197,12000.0,-8.86204
C[C@@H]1CN(CCN1c1nc(cc(=O)n1C)-c1ccncn1)c1cncnc1,CHEMBL4095163,50000.0,-8.7361
CCNC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2F)S1,CHEMBL4448352,50000.0,-7.44588
C[C@@H]1CCCN1CCCOc1ccc(cc1)C(=O)CN1CCN(CC1)C(=O)c1ccccc1,CHEMBL2036635,30000.0,-10.61287
CCCS(=O)(=O)c1ccc2[nH]c(nc2c1)-c1ccccc1,CHEMBL2070138,20000.0,-9.73476
OC(=O)COc1c(Br)c(sc1C(O)=O)-c1cccc(NC2CCN(CC2)S(=O)(=O)Cc2ccccc2)c1,CHEMBL541214,500000.0,-9.82306
Cc1cnc2Nc3ccc(OCCN4CCCC4)c(COC\\C=C\\CCOc4cc(ccn4)-c1n2)c3,CHEMBL2035053,10000.0,-7.21352
CS(=O)(=O)c1ccc2nc(sc2c1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N,CHEMBL2070947,630.96,-8.18501
CCCS(=O)(=O)c1ccc2[nH]c(nc2c1)-c1cn(ccc1=O)-c1ccccc1,CHEMBL2070162,20000.0,-10.22063
CCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,CHEMBL1095671,74500.0,-8.59327
CC1(C)CCC(CC1)NC\\C=C\\CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12,CHEMBL4098635,660.0,-12.24674
C[C@H](N1CC[C@@](CC(C)(C)O)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccc2ncnn2c1,CHEMBL3660140,50000.0,-9.66028
Cl.Cl.Cl.Cl.NCc1ccc(s1)-c1cnccc1-c1cncnc1,CHEMBL4165094,8200.0,-7.85188
CCc1nc(N)nc(N)c1-c1ccc2O[C@@](C)(C(=O)N(CCNC(C)=O)c2c1)c1ccccc1,CHEMBL239085,30000.0,-11.00992
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,CHEMBL1294,82.0,-9.9075
NC(=O)c1c2NCC[C@@H](C3CCN(CC3)C(=O)C=C)n2nc1-c1ccc(Oc2ccccc2)cc1,CHEMBL3936761,30000.0,-9.44215
COC[C@]12C[C@H]1[C@](C)(N=C(N)S2)c1cc(NC(=O)c2cnc(OCC#C)cn2)cc(F)c1F,CHEMBL4560579,20000.0,-9.30948
Cc1cc(ccc1-c1cnn(C)c1)N1CCC(CC1)C1c2c(cccc2F)-c2cncn12,CHEMBL4443301,4510.0,-6.70946
CC(=O)N1CCN(C(=O)C1(C)C)c1cc(ccc1C#N)-c1cc(c2c(N)ncnn12)C(F)(F)F,CHEMBL4064666,20000.0,-10.37513
Cl.CCCCN1C(=O)[C@@H](NC(=O)C11CCN(Cc2ccc(Oc3ccc(cc3)C(O)=O)cc2)CC1)[C@@H](O)C1CCCCC1,CHEMBL1668022,30000.0,-7.41614
C(COc1ccc(cc1)N1CCNCC1)CN1CCC(Cc2c[nH]cn2)CC1,CHEMBL437500,20000.0,-10.1809
Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccc(cc3F)C(F)(F)F)C2)n1C,CHEMBL3901587,5700.0,-10.95845
FC(F)(F)c1ccc(\\C=C\\c2cc(=O)[nH]c3ccc(cc23)C(c2nccs2)c2ccc(Cl)cc2)cc1,CHEMBL3962890,10000.0,-9.36804
Cc1c(C(=O)c2c(Cl)cccc2Cl)c2ccccc2n1-c1ccc(cc1)C(O)=O,CHEMBL4589255,,-11.95781
Brc1ccc(cc1)-c1nc2ccccc2c(=O)[nH]1,CHEMBL2058057,10000.0,-9.94118
COc1cccc(\\C=C\\C(=O)c2ccccc2O)c1,CHEMBL594853,,-9.1255
CN1CCCN(CC1)[C@H]1Cc2c(cc(Cl)cc2Cl)[C@@H]1Oc1ccc(cc1)S(C)(=O)=O,CHEMBL3943573,300.0,-9.47811
FC(F)(F)c1ccccc1C1CCN(CC1)C(=O)c1nnc2ccc(cn12)C#N,CHEMBL4463039,3400.0,-11.81299
Nc1nc2c(cc(O)c(O)c2s1)C(=O)NCc1ccc(Cl)c(Cl)c1,CHEMBL4453795,10000.0,-10.73965
OC(=O)CCCCCNn1nnc2ccccc12,CHEMBL4442292,1710000.0,-7.96079
CC(C)C[C@@H](c1ccc(cc1)C(=O)NCCC(O)=O)n1ncc2cc(c(C)cc12)-c1ccc(cc1C)C(F)(F)F,CHEMBL4513792,10000.0,-6.04249
CCO[C@@H]1Cc2cc(ccc2[C@H]1N1CCN(C[C@@H]1C)C1(C)CCN(CC1)C(=O)c1c(C)ncnc1C)C(F)(F)F,CHEMBL1688243,25000.0,-6.82708
FC(F)(F)c1ccccc1-c1cc(c2[nH]c(nc2c1)C1=NOC2(C1)CCCCC2)C(F)(F)F,CHEMBL1650511,10000.0,-11.01756
Cc1ccc2c(cccc2n1)N1CCN(CCc2cccc(c2)N2CCNC2=O)CC1,CHEMBL1631540,86000.0,-12.0873
CC(O)(P(O)(O)=O)P(O)(O)=O,CHEMBL871,,-6.02424
CCN(CC(O)(CNC(=O)c1cnn(c1N)-c1ccc(F)cc1)C(F)(F)F)C(=O)c1c(Cl)cccc1Cl,CHEMBL461012,89000.0,-11.59459
C1CCN(CC1)[C@H]([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1,CHEMBL2152522,316.23,-10.39663
O=S(=O)(Nc1ccc2CCN(Cc3cc[nH]n3)CCc2c1)c1ccc(nc1)N1CCOCC1,CHEMBL1078595,1000.0,-10.15878
COC(=O)N1CC[C@@H](C1)N(Cc1ccccc1Cl)c1ccc(C#N)c(Cl)c1,CHEMBL592510,11000.0,-10.16809
CCN1C[C@@H]2C[C@@H](C[C@@H]2C1)N(Cc1cccc(OC(F)(F)F)c1)C(=O)c1cn(C)cn1,CHEMBL604805,1100.0,-10.95364
CCN1C[C@@H]2C[C@@H](C[C@@H]2C1)N(Cc1ccc(F)c(c1)C(F)(F)F)C(=O)c1cn(C)cn1,CHEMBL599480,1800.0,-11.32252
C(COc1ccc(NC2CCCCC2)cc1)CN1CCC(Cc2c[nH]cn2)CC1,CHEMBL204951,900.0,-10.5425
Fc1ccc(Nc2ncc(C(=O)NCC3CCOCC3)c(n2)C(F)(F)F)c(Cl)c1,CHEMBL425128,,-10.3694
CC[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(c1)-c1nnnn1C,CHEMBL270583,900.0,-11.22323
C[C@H](C[C@@H](C)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(c1)-c1nnnn1C,CHEMBL258156,2200.0,-11.12766
Cl.Cl.CN1CCC(=CC1)c1c[nH]c2cc(NC(=N)c3cccs3)ccc12,CHEMBL3142316,63200.0,-11.25573
Fc1c(Cl)cccc1Nc1ncc(C(=O)NCC2CCOCC2)c(n1)C(F)(F)F,CHEMBL225413,100000.0,-10.09932
COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC,CHEMBL373751,50118.72,-8.98516
C[C@H](C1=C(CCN(C)C)Cc2ccccc12)c1cnccn1,CHEMBL556506,50000.0,-9.43002
C(COc1ccc(CN2CCCCC2)cc1)CN1CCC(Cc2c[nH]cn2)CC1,CHEMBL424675,14000.0,-10.36493
COc1cc2nccc(Oc3ccc4c(cccc4c3F)C(=O)Nc3ccc(Cl)cc3)c2cc1OC,CHEMBL429585,50000.0,-8.38666
COc1cc(\\C=C\\C(=O)\\C=C\\c2ccc(O)c(OC)c2)ccc1O,CHEMBL128729,599791.08,-8.601
COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,CHEMBL170,610.0,-10.06717
CC(C)(N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H]2[C@H](O)COc3ccccc23)[C@@H](C1)C(=O)NCC(F)(F)F)c1ncc(o1)-c1cccnc1,CHEMBL3706613,10500.0,-9.86957
CN([C@H](CN1CCCC1)c1ccccc1)C(=O)Cc1cccc(CNS(C)(=O)=O)c1,CHEMBL190030,1820.0,-10.36482
O=C(N1CCOCC1)C1(CCNCC1)c1ccccc1,CHEMBL361064,554000.0,-9.27242
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,CHEMBL515,65100.0,-7.74148
NCCN1C(=O)c2ccccc2C1(O)c1ccc(Cl)cc1,CHEMBL186039,8500.0,-9.39543
C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(C)cc(c1)-c1nnnn1C,CHEMBL257029,3500.0,-11.09362
C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(Br)cc(c1)-c1nnnn1C,CHEMBL403331,500.0,-10.49068
CCN1CCC(CC1)c1ccc(Nc2cc(ncn2)N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)cc1,CHEMBL1834661,10000.0,-7.4811
Cc1[nH]c2c(NCc3c(C)cccc3C)nccc2c1C,CHEMBL1076210,100.0,-10.2916
OC(=O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(nc3ccccc23)-c2ccc(Cl)cc2)c(c1)C(F)(F)F,CHEMBL1668259,36000.0,-10.58999
OCCn1c2ccccc2n(C2CCN(CC2)C(=O)C2CCN(Cc3ccncc3)CC2)c1=O,CHEMBL1222651,20000.0,-10.73327
CC(C)(C)c1ccc(SCCc2c[nH]cn2)cc1,CHEMBL1098230,680.0,-8.47866
CC1CN(CCN1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)-c1ccc(F)cc1F,CHEMBL277100,,-11.48138
FC(F)(F)C1(CC1)c1ccc(CC(=O)Nc2ccn(Cc3ccc(cn3)C#N)n2)cc1,CHEMBL4217292,15000.0,-10.80943
C[C@H](c1c(CCN2CCC2)sc2ccccc12)c1ccccn1,CHEMBL1091775,10000.0,-9.35421
NNc1nncc2ccccc12,CHEMBL276832,,-7.18769
Clc1cc2cc(ccc2s1)N1C[C@@]2(CN3CCC2CC3)OC1=O,CHEMBL2113240,30000.0,-10.72792
C[C@@H]1OCC2(CCN(CC2)c2nc3[nH]nc(-c4ccnc(NC5CC5)c4Cl)c3c(=O)n2C)[C@@H]1N,CHEMBL4439006,50000.0,-6.04355
