smiles,ChEMBL_ID,activity,binding_score
CCOc1ccccc1N1CCN(Cc2csc3ccccc23)CC1,CHEMBL2420890,219.0,-7.66951
Clc1cccc(N2CCCN(CCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,CHEMBL3918805,8.3,-9.93587
Clc1cccc(N2CCN(C\\C=C\\CNC(=O)c3ccc-4c(Cc5ccccc-45)c3)CC2)c1Cl,CHEMBL304605,168.0,-11.72625
CCCCn1cc(COc2ccc(CN3CCN(CC3)c3ccccc3OC)cc2OC)nn1,CHEMBL1803030,63.0,-8.59729
O=C1N(CCCCCCN2CCN(CC2)c2cccc3ccccc23)S(=O)(=O)c2ccccc12,CHEMBL4454105,8.0,-10.24913
CN1CCc2ccccc2Cc2[nH]c3ccccc3c2C[C@H]1CO,CHEMBL1949729,2923.0,-8.21505
Fc1ccc(F)c(c1)S(=O)(=O)NC1CCN(CCOc2ccccc2-c2ccccc2)C1,CHEMBL2159483,18.0,-10.42481
Clc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4s3)CC2)c1Cl,CHEMBL59725,64.7,-9.96395
C[Si](C)(C)C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,CHEMBL108160,4900.0,-7.4999
CN1CCc2cc(O)c(O)cc2C1Cc1ccccc1Br,CHEMBL4591554,286.0,-7.63139
Clc1cccc(C2CCN(CCCCOc3ccc4[nH]c(=O)[nH]c4c3)CC2)c1Cl,CHEMBL2165115,10.9,-9.42883
Clc1cccc(N2CCN(Cc3cccc(Oc4ccc5CCC(=O)Nc5c4)c3)CC2)c1Cl,CHEMBL2165131,113.0,-11.1689
Fc1ccc2[nH]cc(C3=CCN(CCCCN4C(=O)c5ccccc5C4=O)CC3)c2c1,CHEMBL131495,3.162,-11.02191
COc1ccc2Cc3ccccc3CCN(C)CCCc2c1,CHEMBL389357,25.0,-6.88713
CN[C@@H]1Cc2cccc3n(CCOCCOCCCCc4ccccc4)c(=O)n(C1)c23,CHEMBL4100322,111.0,-8.85618
O=C1N(CCCCCCN2CCN(CC2)c2ncccn2)S(=O)(=O)c2ccccc12,CHEMBL4470487,51.0,-9.37565
FC(F)(F)c1ccccc1N1CCN(CCCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,CHEMBL4462839,27.0,-9.76967
COc1ccccc1N1CCN(CCCCN2CCc3cc(ccc3C2=O)C#C)CC1,CHEMBL1771114,8.8,-9.12868
Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2ccccc12,CHEMBL708,0.9,-9.46522
Clc1cccc(c1)N1CCN(CCCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,CHEMBL4464512,39.0,-9.56481
CN[C@@H]1Cc2cccc3n(CCCCCCCCCCCCOCCCCc4ccccc4)c(=O)n(C1)c23,CHEMBL4086953,124.0,-8.36517
O=C1CCc2ccc(OCCCCN3CCN(CC3)c3cccc4OCCOc34)nc2N1,CHEMBL3912435,0.45,-9.71957
CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12,CHEMBL42,,-7.34703
CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,CHEMBL94,,-7.13157
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,CHEMBL584,,-9.28015
COc1ccc(cc1)-c1ccccc1N1CCN(CCCCCC(=O)N[C@@H](C)c2ccccc2)CC1,CHEMBL3892201,177.0,-9.68167
Cl.Clc1ccc2C(=O)C(CCN3CCc4ccccc4C3)Cc2c1,CHEMBL3898250,946.0,-10.27661
CC1(C)CC(=O)N(CCCCN2Cc3ccccc3C2)C(=O)C1,CHEMBL3908870,2951.21,-9.12749
Fc1ccc(cc1Cl)S(=O)(=O)N[C@@H]1CCN(CCCc2noc3ccccc23)C1,CHEMBL4775997,56.23,-10.01989
Fc1ccc(cc1)S(=O)(=O)N[C@H]1CCN(CCCc2noc3ccccc23)C1,CHEMBL4796647,323.59,-10.10382
O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccccc2o1,CHEMBL4764006,1.23,-10.50772
O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccccc2s1,CHEMBL4764468,16.22,-10.79202
CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2cccc(Cl)c2Cl)CC1,CHEMBL2028019,0.47,-8.63491
COc1c(O)ccc2C[C@@H]3N(CCc4cc5OCOc5cc34)Cc12,CHEMBL1457510,49.2,-9.40312
OCC1=Cc2cn(c3cccc(O1)c23)S(=O)(=O)c1ccccc1,CHEMBL4088416,10000.0,-8.59018
CC1(NC(=O)N(CC(O)CN2CCN(Cc3cccc4ccccc34)CC2)C1=O)c1ccc(F)cc1,CHEMBL4287320,5233.0,-10.99933
CC1(NC(=O)N(CC(O)CN2CCN(CC2)C(c2ccccc2)c2ccccc2)C1=O)c1cccc2ccccc12,CHEMBL4283960,273.0,-9.33998
CCc1cc(Cl)c(OC)c(c1)N1CCN(CC(O)CCNC(=O)c2cc3ccccc3[nH]2)CC1,CHEMBL4476394,13200.0,-10.00808
O=C(CCOCCN1CCN(CC1)c1ccccc1-c1ccccc1)NCc1ccc(cc1)C#N,CHEMBL3914155,631.0,-8.9728
Cl.Clc1ccc(cc1)C(=O)CCCN1CCCc2ccccc2C1,CHEMBL3924565,3578.0,-9.85481
CCCN(CCCCOc1ccn2ncc(C=O)c2c1)[C@H]1CCc2c(O)cccc2C1,CHEMBL4090208,2.3,-9.53985
COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(C=O)c3c2)CC1,CHEMBL4088639,1.5,-9.61158
Fc1ccc(N2CCN(CCCCCC(=O)NCc3ccc(cc3)C#N)CC2)c(c1)-c1ccc(cc1)C#N,CHEMBL3910730,1385.0,-9.05401
Cl.Cc1coc(n1)-c1cccc(c1)C(=O)N[C@H]1CC[C@H](CCN2CCc3ccc(OS(C)(=O)=O)cc3CC2)CC1,CHEMBL3084612,199.53,-10.40965
Cc1c(nc(O)n1C1CCN(Cc2ccccc2)CC1)-c1ccc(C)cc1,CHEMBL263162,52.0,-10.64842
COc1cc2CC(CN3CCN(CC3)c3ccccn3)CC(=O)c2cc1OC,CHEMBL154244,10000.0,-9.10344
COc1cccc2[C@H]3CCN(CC=C)[C@H]3CCc12,CHEMBL566970,339.0,-8.52159
CCCCn1cc(CCCOc2ccc(cc2OC)C(=O)NCCCN2CCCN(CC2)c2ccc(O)c3[nH]c(=O)ccc23)nn1,CHEMBL4070604,350.0,-9.05737
OC1(CCN(CCCCc2nc3ccccc3s2)CC1)c1ccc(Cl)cc1,CHEMBL2037432,201.0,-9.4162
Cl.CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1,CHEMBL1201082,,-8.5821
Clc1ccc2Nc3ccccc3C(=Nc2c1)N1CCN(CCCNC(=O)CCCCCCCCCCCCCCCCC(=O)NCCCN2CCN(CC2)C2=Nc3cc(Cl)ccc3Nc3ccccc23)CC1,CHEMBL2016631,245.47,-7.1621
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,CHEMBL156651,0.067,-7.77345
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,CHEMBL156651,211.0,-7.77345
CN[C@H]1Cc2cccc3nc(O)n(C1)c23,CHEMBL156906,,-6.42363
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,CHEMBL156651,260.0,-7.77345
COCC(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1,CHEMBL3903560,9.6,-8.23806
CS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1,CHEMBL3892440,8.9,-8.90565
Clc1ccc(cc1)N1CCN(Cc2cccn3nccc23)CC1,CHEMBL90374,21000.0,-7.80974
Cl.Cl.COc1cccc2C(CCCc12)NCCN1CCN(CC1)c1ccc(Cl)cc1,CHEMBL2112375,3180.0,-9.56172
O=C(CCCN1CCN(CC1)c1ccccc1)c1nc2ccccc2s1,CHEMBL2037525,10000.0,-9.75605
Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)ncc2nccn12,CHEMBL4277264,8300.0,-9.80647
Cc1cccc(N2CCN(CCc3ccc4[nH]nnc4c3)CC2)c1C,CHEMBL184770,51.29,-9.418
COc1ccc2CN3CCc4cc(OC)c(O)cc4[C@@H]3Cc2c1,CHEMBL2057453,346.76,-7.79689
COc1ccccc1N1CCN(CCCCNc2ccc3ccccc3n2)CC1,CHEMBL271989,5.6,-9.60944
Fc1cccc2N(CCCN3CCC(CC3)n3c4ccccc4[nH]c3=O)C(=O)CCc12,CHEMBL2059317,60.0,-10.11112
Cc1nnn(C2CCN(Cc3ccccc3)CC2)c1-c1ccccc1,CHEMBL25887,1200.0,-9.95073
FC(F)(F)c1cccc(c1)N1CCN(CCCCNc2ccc(cn2)-c2ccccc2)CC1,CHEMBL1223801,1.1,-10.59486
CCCN(CCC)C1CCC(CC1)=CC#N,CHEMBL350161,20000.0,-6.38059
O=S(=O)(N1CCC[C@@H]1CCN1CCN(CC1)c1cccc2[nH]ccc12)c1cncc2ccccc12,CHEMBL4245997,3.0,-10.24841
COc1cccc(c1)C(=O)NCCCCN1CCN(CC1)c1ccc(Cl)cc1,CHEMBL315879,2350.0,-9.18862
CC1(C)CC(=O)N(CCCCN2Cc3ccccc3C2)C(=O)C1,CHEMBL3908870,2933.0,-9.12749
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1cnc[nH]1)C(O)=O,CHEMBL3265326,1000.0,
CNC1(CCCCC1=O)c1ccccc1Cl,CHEMBL742,,-7.27433
O=C(CCOCCN1CCN(CC1)c1ccccc1-c1ccccc1)NCc1ccncc1,CHEMBL3923145,2450.0,-8.53531
Cl.Clc1ccc2sc(CCCCN3CCc4c(Cl)cccc4C3)nc2c1,CHEMBL3971383,853.0,-9.1715
CCC(C)Oc1c(O)cc(Br)c2C[C@@H]3N(CCc4cc(OC)c(O)cc34)Cc12,CHEMBL3894329,331.0,-8.09363
N#Cc1ccc2CNCCc2c1,CHEMBL4076796,53800.0,-7.45177
Fc1cccc(CCCN2C3CCC2CC3)c1,CHEMBL2030630,10000.0,-7.25542
CC(C)CS(=O)(=O)n1ccc2c(cc(nc12)N1CCN(C)CC1)-c1cc(C)sc1C,CHEMBL3800251,640.0,-8.19784
Nc1nc2cc3CCN(Cc4cccnc4)CCc3cc2s1,CHEMBL2326484,200.0,-8.38228
C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)Nc1ccncc1,CHEMBL559147,,-7.5564
O=C1COc2ccccc2N1CCCN1CCC(CC1)n1c2ccncc2[nH]c1=O,CHEMBL2059315,1350.0,-9.53325
Cl.CCCN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31,CHEMBL538542,0.11,-7.99846
CC(C)CS(=O)(=O)n1ccc2c(cc(nc12)N1CCN(C)CC1)-c1ccc2[nH]ccc2c1,CHEMBL3798478,382.0,-8.98397
Fc1cccc(c1)S(=O)(=O)NCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12,CHEMBL4095555,2.4,-9.60216
Clc1ccc(cc1)N1CCCN(CCCc2nc3ccccc3s2)CC1,CHEMBL1946255,,-9.43813
Clc1cccc(c1)S(=O)(=O)NCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12,CHEMBL4066532,23.0,-9.56821
Cc1cccc(c1)S(=O)(=O)NCCN1CCC(=CC1)c1c[nH]c2ccc(F)cc12,CHEMBL4078873,20.0,-9.92684
Fc1cccc(c1)S(=O)(=O)NCCCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12,CHEMBL4087852,1.8,-9.77878
Clc1cccc(c1)S(=O)(=O)NCCCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12,CHEMBL4070254,1.0,-9.48462
Fc1ccc(cc1)S(=O)(=O)NCCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12,CHEMBL4077937,3.5,-10.03361
Fc1ccc2C(=O)C(CCN3CCCN(CC3)c3ccc(Cl)cc3)Cc2c1,CHEMBL1946124,1021.0,-10.541
Fc1ccc(\\C=C\\C(=O)N[C@H]2CC[C@H](CCN3Cc4ccc(cc4C3)C(F)(F)F)CC2)cc1,CHEMBL161126,398.11,-11.62077
Cl.CS(=O)(=O)c1ccc2CCN(CC[C@H]3CC[C@@H](CC3)NC(=O)\\C=C\\c3cc(F)cc(F)c3)CCc2c1,CHEMBL2368627,251.19,-10.25665
NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,CHEMBL156164,202.0,-7.33965
Nc1cccc(n1)-c1ccc(CCN2CCN(CC2)c2cccc3cccnc23)cc1,CHEMBL87187,11.0,-11.16365
CN1CCN(CC1)C1=Nc2cccnc2Nc2ccc(C)cc12,CHEMBL63329,5940.0,-7.38642
COc1ccccc1N1CCCN(CCCCNC(=O)c2cccc(OC)c2OC)CC1,CHEMBL2386622,152.0,-7.72233
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,CHEMBL54,2.5,-9.57013
COc1ccccc1N1CCC2(CCN(CCCSc3nnc(-c4ccccc4)n3C)C2)CC1,CHEMBL4476163,21098.0,-9.89378
CC(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2cccc3OCOc23)CC1,CHEMBL3697967,136.57,-9.69136
C[C@@H](NC(=O)CCCCCN1CCN(CC1)c1ccccc1-c1ccccc1)c1ccccc1,CHEMBL3960056,116.0,-9.96683
Cl.Clc1cccc2CCN(CCCCc3nc4ccccc4s3)Cc12,CHEMBL3899099,269.15,-9.33483
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,CHEMBL1256786,13000.0,-8.20459
COc1ccccc1OCCNC[C@@H](O)c1ccc(O)c(O)c1,CHEMBL3799593,350.0,-8.51042
OC1(CCN(CCCCc2nc3ccccc3s2)CC1)c1ccc(Cl)cc1,CHEMBL2037432,201.0,-9.4162
Cl.OC1(CC2CCC(C1)N2CCCCc1nc2ccccc2s1)c1ccc(Cl)cc1,CHEMBL3819434,44.67,-10.08512
CCn1cncc1-c1c[nH]c2ccc(cc12)C(=O)OC,CHEMBL4544802,10000.0,-7.60983
CCCN1CCC(CC1)n1c2ccc(Cl)cc2[nH]c1=O,CHEMBL2207493,456.0,-7.93329
O=C1NCN(c2ccccc2)C11CCN(CCCCc2nc3ccccc3s2)CC1,CHEMBL3819567,24.0,-9.81078
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,CHEMBL54,6.31,-9.57013
Cc1ccc2nc(CNCCCOc3ccccc3)cc(O)c2c1,CHEMBL3480577,10.0,-8.64673
CCCN1CCC(CC1)c1cn(C)c2ccc(F)cc12,CHEMBL2207486,19.0,-7.80009
Cl.OC1(CC2CCC(C1)N2CCCCC(=O)c1nc2ccccc2s1)c1ccc(Cl)cc1,CHEMBL3818881,180.0,-9.91329
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccn3n2)CC1,CHEMBL142020,99.0,-9.22956
CCCc1c(nnn1Cc1ccccc1)C(=O)NCCCCN1CCN(CC1)c1cccc(Cl)c1Cl,CHEMBL425285,6.4,-9.94402
O=c1ccc2ccc(OCCCCN3CCN(CC3)c3cccc4sccc34)cc2[nH]1,CHEMBL2105760,0.51,-9.63653
O=c1ccc2ccc(OCCCCN3CCN(CC3)c3cccc4sccc34)cc2[nH]1,CHEMBL2105760,0.5129,-9.63653
COc1ccccc1N1CCN(CCCCNc2nccc3ccccc23)CC1,CHEMBL1223748,1.0,-8.86828
CN([C@@H]1CCc2c(CC(O)=O)c3ccccc3n2C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL561132,3746.0,-9.93636
CCOc1cccc(c1)N1CCN(CCCCOc2ccc3CCC(=O)Nc3c2)CC1,CHEMBL2165123,21.0,-9.01553
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(C2)c2ccc(c(F)c2)C(F)(F)F)n1C,CHEMBL1080126,630.96,-10.12655
Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)n1C,CHEMBL3935692,213.8,-9.88006
Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccccc3C(F)(F)F)C2)n1C,CHEMBL3905196,1584.89,-9.11354
Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(F)cc3)C2)n1C,CHEMBL3922143,426.58,-9.22542
OCC(=O)N[C@H]1CC[C@H](CCN2CCC(CC2)c2cccc3OCCc23)CC1,CHEMBL3695373,570.9,-9.38151
COc1ccccc1N1CCC2(CCN(CCCCNC(=O)c3ccc(cc3)N(C)C)CC2)CC1,CHEMBL4528652,3762.0,-9.54023
CC(C)(O)C(=O)N[C@H]1CC[C@H](CCN2CCC(CC2)c2cccc3OCOc23)CC1,CHEMBL3664845,406.7,-10.21755
OC(=O)C(O)=O.COc1ccccc1N1CCN(CCCCCOc2ccc3CCC(=O)Nc3c2)CC1,CHEMBL1813598,7.3,-9.05349
OC1(CC(=O)N[C@H]2CC[C@H](CCN3CCN(CC3)c3cccc4OCOc34)CC2)CCC1,CHEMBL3697978,94.57,-9.86354
CCC(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nccc3OCCc23)CC1,CHEMBL3642753,709.4,-8.81533
CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1)C(=O)Cc1ccc(Cl)c(Cl)c1,CHEMBL70586,,-9.00239
Cc1ccc2c(cccc2n1)-c1nnc(SCCCN2CC3CC3(C2)c2ccc(cc2)C#N)n1C,CHEMBL1079577,6309.57,-9.44879
C[C@H]1C=C(CCN1C)C1=Nc2ccccc2Nc2ccc(C)cc12,CHEMBL4793813,819.0,-8.27897
