smiles,ChEMBL_ID,activity_IC50,binding_score
C(COc1ccc(cc1)[C@H]1CC[C@@H](CC1)N1CCOCC1)CN1CCCCC1,CHEMBL1824241,44000.0,-8.79684
Cc1ccc(cc1-c1ccc(cn1)C(=O)NCC1CC1)C(=O)NC1CC1,CHEMBL1232887,39810.72,-8.8989
COc1ccc2[nH]cc(C(=O)OCC34CCN(CC3)CC4)c2c1Cl,CHEMBL3917789,10000.0,-7.52754
CS(=O)(=O)OCC1COC(Cn2cncn2)(O1)c1ccc(Cl)cc1Cl,CHEMBL410503,50000.0,-7.7906
CCC1COC(Cn2cncn2)(O1)c1ccc(Cl)cc1Cl,CHEMBL270271,50000.0,-6.97609
Cc1oc(nc1CCOc1ccc(C[C@@H]2CN(C[C@@H]2C(O)=O)c2nccc(n2)C(F)(F)F)cc1)-c1ccccc1,CHEMBL255930,3200.0,-11.50747
C[C@H](N1CC[C@@](CC(C)(C)O)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccc(F)cn1,CHEMBL4096179,20100.0,-9.84576
C[C@H](N1CC[C@@](CC(C)(C)O)(OC1=O)c1ccccc1)c1ccc(cc1)-c1cnc(C)nc1,CHEMBL4105041,50000.0,-10.48098
C[C@H](N1CC[C@@](CC(C)(C)O)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccc(F)cc1,CHEMBL3645525,4600.0,-10.73456
COc1cc(C=C2CCC(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O,CHEMBL270361,2798981.32,-9.24712
COc1ccc2[nH]c(nc2c1)[S+]([O-])Cc1ncc(C)c(OC)c1C,CHEMBL1503,,-7.85881
Cc1cc(ccc1F)-c1cnc2ccn(Cc3ncco3)c2c1,CHEMBL4526512,7100.0,-8.38446
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1,CHEMBL154751,100000.0,-9.40109
NC(=O)n1cc(NC(=O)N2CCC[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12,CHEMBL3908849,3400.0,-10.81125
C[C@H](c1ccc(Cl)cc1Cl)n1nc(C#N)c2ncc(nc12)N1CC[C@@H]([C@H](C)C1)N1CCC[C@H]1CO,CHEMBL4558456,10000.0,-9.92514
CC(C)(C)c1cc(NC(=O)N2CCCN(CC2)C(=O)N2CCS(=O)(=O)CC2)no1,CHEMBL1762429,30000.0,-8.52141
Cl.Cl.O=C(CN1CCOCC1)Nc1ccc(OC2CCN(CC2)C2CCC2)cc1,CHEMBL4593911,45000.0,-8.80235
COc1cncc(NC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)c1,CHEMBL4205724,3300.0,-9.24631
CC[C@H](NC(=O)c1c(O)c(nc2ccccc12)-c1ccccc1)c1ccccc1,CHEMBL10188,2000.0,-10.69049
OC(=O)c1ccc(c(F)c1)-n1cc(C(=O)c2c(Cl)cccc2C(F)(F)F)c2c(F)cccc12,CHEMBL4577409,20300.0,-10.82868
O=C(OCC12CCN(CC1)CC2)c1c[nH]c2ccccc12,CHEMBL3926686,10000.0,-7.88736
NCC(NC(=O)c1ccc([nH]1)-c1cc(F)c(Cl)c(F)c1)c1ncc(CO)s1,CHEMBL4083672,25000.0,-8.86422
CC(C)CC(=O)N1CCC2(CC2CNC(=O)N2Cc3ccncc3C2)CC1,CHEMBL3925878,10000.0,-9.21327
Cc1nc(C)c(s1)C(=O)N1CCC2(CC2CNC(=O)N2Cc3ccncc3C2)CC1,CHEMBL3923552,10000.0,-9.80549
Cc1ccc(cc1F)-c1ccc([nH]1)C(=O)NC(CN)c1ncc(CO)s1,CHEMBL4075766,25000.0,-8.87578
COC(=O)c1ccc(CNC(=O)c2ccc3nc(N)sc3c2)cc1,CHEMBL4579215,10000.0,-8.34194
Nc1nc2ccc(cc2s1)C(=O)NC(c1ccccc1)c1ccccc1,CHEMBL4435791,10000.0,-10.15116
CC(C)C[C@@H](c1ccc(cc1)C(=O)NCCC(O)=O)n1ncc2cc(c(C)cc12)-c1ccc(cc1C)C(F)(F)F,CHEMBL4513792,10000.0,-11.36576
CC(C)C[C@@H](c1ccc(cc1)C(=O)NCCC(O)=O)n1cc2cc(c(C)cc2n1)-c1ccc(cc1C)C(F)(F)F,CHEMBL4589676,10000.0,-11.11912
FC(F)(F)c1ccccc1-c1ccc2[nH]c(nc2c1)C1=NOC2(C1)CCCCC2,CHEMBL1650510,1700.0,-10.59037
